meeting,date,duration,agenda,video,duration_minutes
Board of Adjustment,"August 24, 2021
                                                                                                                                      -
                                                                                               1:00 PM",03h 38m,,,218
Board of Adjustment,"August 10, 2021
                                                                                                                                      -
                                                                                               1:00 PM",03h 29m,,,209
Board of Adjustment,"July 27, 2021
                                                                                                                                      -
                                                                                               1:00 PM",03h 07m,,,187
Board of Adjustment,"July 13, 2021
                                                                                                                                      -
                                                                                               1:02 PM",02h 03m,,,123
Board of Adjustment,"June 22, 2021
                                                                                                                                      -
                                                                                               1:00 PM",01h 43m,,,103
Board of Adjustment,"June  8, 2021
                                                                                                                                      -
                                                                                               1:06 PM",03h 50m,,,230
Board of Adjustment,"May 25, 2021
                                                                                                                                      -
                                                                                               1:00 PM",01h 51m,,,111
Board of Adjustment,"May 11, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 45m,,,165
Board of Adjustment,"April 27, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 23m,,,143
Board of Adjustment,"April 13, 2021
                                                                                                                                      -
                                                                                               1:00 PM",01h 49m,,,109
Board of Adjustment,"March 25, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 55m,,,55
Board of Adjustment,"March  9, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 37m,,,157
Board of Adjustment,"February  9, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 32m,,,152
Board of Adjustment,"January 28, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 09m,,,129
Election District Commission,"December 10, 2021
                                                                                                                                      -
                                                                                              10:00 AM",04h 00m,,,240
Election District Commission,"December  8, 2021
                                                                                                                                      -
                                                                                              10:00 AM",00h 15m,,,15
Election District Commission,"November 19, 2021
                                                                                                                                      -
                                                                                              10:00 AM",03h 00m,,,180
Election District Commission,"November 19, 2021
                                                                                                                                      -
                                                                                              10:00 AM",00h 09m,,,9
Election District Commission,"October 22, 2021
                                                                                                                                      -
                                                                                              10:00 AM",04h 00m,,,240
Election District Commission,"October 22, 2021
                                                                                                                                      -
                                                                                              10:00 AM",00h 30m,,,30
Election District Commission,"September 24, 2021
                                                                                                                                      -
                                                                                              10:00 AM",00h 38m,,,38
Election District Commission,"August 20, 2021
                                                                                                                                      -
                                                                                              10:00 AM",00h 28m,,,28
Election District Commission,"July 30, 2021
                                                                                                                                      -
                                                                                              10:00 AM",00h 15m,,,15
Hispanic/Latinx Affairs Commission,"November 18, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 26m,,,86
Hispanic/Latinx Affairs Commission,"October 14, 2021
                                                                                                                                      -
                                                                                               6:07 PM",00h 52m,,,52
Hispanic/Latinx Affairs Commission,"October 14, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 01m,,,61
Hispanic/Latinx Affairs Commission,"September  9, 2021
                                                                                                                                      -
                                                                                               6:00 PM",04h 00m,,,240
Hispanic/Latinx Affairs Commission,"August 12, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 02m,,,62
Hispanic/Latinx Affairs Commission,"May 13, 2021
                                                                                                                                      -
                                                                                               6:00 PM",00h 47m,,,47
Hispanic/Latinx Affairs Commission,"April  8, 2021
                                                                                                                                      -
                                                                                               6:00 PM",00h 53m,,,53
Hispanic/Latinx Affairs Commission,"March 11, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 13m,,,73
Housing & Urban Development Community Development Committee,"September  9, 2021
                                                                                                                                      -
                                                                                               5:00 PM",00h 20m,,,20
Housing & Urban Development Community Development Committee,"August 12, 2021
                                                                                                                                      -
                                                                                               5:00 PM",00h 19m,,,19
Housing & Urban Development Community Development Committee,"July  8, 2021
                                                                                                                                      -
                                                                                               5:00 PM",00h 34m,,,34
Housing & Urban Development Community Development Committee,"July  8, 2021
                                                                                                                                      -
                                                                                               5:00 PM",00h 34m,,,34
Housing & Urban Development Community Development Committee,"March 17, 2021
                                                                                                                                      -
                                                                                               5:00 PM",00h 38m,,,38
Housing & Urban Development Community Development Committee,"February  9, 2021
                                                                                                                                      -
                                                                                               5:00 PM",00h 52m,,,52
Human Rights Commission,"November 15, 2021
                                                                                                                                      -
                                                                                               3:30 PM",03h 00m,,,180
Human Rights Commission,"November 15, 2021
                                                                                                                                      -
                                                                                               3:30 PM",01h 11m,,,71
Human Rights Commission,"October 25, 2021
                                                                                                                                      -
                                                                                               3:30 PM",02h 00m,,,120
Human Rights Commission,"October 25, 2021
                                                                                                                                      -
                                                                                               3:30 PM",00h 48m,,,48
Human Rights Commission,"August 16, 2021
                                                                                                                                      -
                                                                                               3:30 PM",00h 49m,,,49
Human Rights Commission,"March 15, 2021
                                                                                                                                      -
                                                                                               3:30 PM",03h 00m,,,180
Indian Affairs Commission,"November 16, 2021
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"November 16, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 20m,,,80
Indian Affairs Commission,"October 27, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 36m,,,96
Indian Affairs Commission,"October 19, 2021
                                                                                                                                      -
                                                                                               6:00 PM",02h 00m,,,120
Indian Affairs Commission,"October 19, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 16m,,,76
Indian Affairs Commission,"August 17, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 12m,,,72
Indian Affairs Commission,"June 15, 2021
                                                                                                                                      -
                                                                                               5:59 PM",01h 59m,,,119
Indian Affairs Commission,"May 18, 2021
                                                                                                                                      -
                                                                                               6:00 PM",00h 54m,,,54
Indian Affairs Commission,"April 21, 2021
                                                                                                                                      -
                                                                                               6:00 PM",00h 58m,,,58
Indian Affairs Commission,"March 16, 2021
                                                                                                                                      -
                                                                                               6:00 PM",01h 13m,,,73
Tulsa Metropolitan Area Planning Commission,"December 15, 2021
                                                                                                                                      -
                                                                                               1:00 PM",03h 54m,,,234
Tulsa Metropolitan Area Planning Commission,"November 17, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 44m,,,44
Tulsa Metropolitan Area Planning Commission,"November  3, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 53m,,,53
Tulsa Metropolitan Area Planning Commission,"October 20, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 33m,,,153
Tulsa Metro Area Planning Commission,"October 20, 2021
                                                                                                                                      -
                                                                                               1:00 PM",01h 25m,,,85
Tulsa Metropolitan Area Planning Commission,"October  6, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 49m,,,169
Tulsa Metropolitan Area Planning Commission,"September 15, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 13m,,,133
Tulsa Metro Area Planning Commission,"September 15, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 25m,,,145
Tulsa Metro Area Planning Commission,"September  1, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 25m,,,145
Tulsa Metropolitan Area Planning Commission,"August 18, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 35m,,,35
Tulsa Metro Area Planning Commission,"August 18, 2021
                                                                                                                                      -
                                                                                               1:00 PM",01h 25m,,,85
Tulsa Metropolitan Area Planning Commission,"July 21, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 28m,,,28
Tulsa Metropolitan Area Planning Commission,"July  7, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 59m,,,59
Tulsa Metro Area Planning Commission,"July  7, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 56m,,,56
Tulsa Metropolitan Area Planning Commission,"June 16, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 53m,,,53
Tulsa Metropolitan Area Planning Commission,"June  2, 2021
                                                                                                                                      -
                                                                                               1:00 PM",01h 30m,,,90
Tulsa Metropolitan Area Planning Commission,"May 19, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 25m,,,25
Tulsa Metropolitan Area Planning Commission,"May  5, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 23m,,,143
Tulsa Metro Area Planning Commission,"May  5, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 23m,,,143
Tulsa Metropolitan Area Planning Commission,"April 21, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 33m,,,33
Tulsa Metro Area Planning Commission,"April 21, 2021
                                                                                                                                      -
                                                                                               1:00 PM",03h 30m,,,210
Tulsa Metropolitan Area Planning Commission,"April  7, 2021
                                                                                                                                      -
                                                                                               1:00 PM",02h 03m,,,123
Tulsa Metropolitan Area Planning Commission,"March 17, 2021
                                                                                                                                      -
                                                                                               1:00 PM",01h 06m,,,66
Tulsa Metropolitan Area Planning Commission,"March  3, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 23m,,,23
Tulsa Metropolitan Area Planning Commission,"February  3, 2021
                                                                                                                                      -
                                                                                               1:00 PM",00h 21m,,,21
Tulsa Authority for Economic Opportunity,"December 16, 2021
                                                                                                                                      -
                                                                                               9:00 AM",04h 43m,,,283
Tulsa Authority for Economic Opportunity,"November 18, 2021
                                                                                                                                      -
                                                                                               9:00 AM",01h 11m,,,71
Tulsa Authority for Economic Opportunity/Tulsa Development Authority,"October 28, 2021
                                                                                                                                      -
                                                                                               9:00 AM",06h 00m,,,360
Tulsa Authority for Economic Opportunity,"October 28, 2021
                                                                                                                                      -
                                                                                               9:00 AM",02h 12m,,,132
Tulsa Authority for Economic Opportunity,"September 23, 2021
                                                                                                                                      -
                                                                                               9:00 AM",01h 59m,,,119
Tulsa Authority for Economic Opportunity,"August 26, 2021
                                                                                                                                      -
                                                                                               9:00 AM",02h 41m,,,161
Tulsa Authority for Economic Opportunity,"July 22, 2021
                                                                                                                                      -
                                                                                               9:00 AM",03h 19m,,,199
Tulsa Authority for the Recovery of Energy,"December  7, 2021
                                                                                                                                      -
                                                                                               3:30 PM",00h 48m,,,48
Tulsa Authority for the Recovery of Energy,"October 26, 2021
                                                                                                                                      -
                                                                                               3:30 PM",01h 06m,,,66
Tulsa Authority for the Recovery of Energy,"August 31, 2021
                                                                                                                                      -
                                                                                               3:30 PM",00h 38m,,,38
Tulsa Authority for the Recovery of Energy,"May 25, 2021
                                                                                                                                      -
                                                                                               3:29 PM",02h 59m,,,179
Tulsa Authority for the Recovery of Energy,"April 27, 2021
                                                                                                                                      -
                                                                                               3:30 PM",00h 45m,,,45
Tulsa Authority for the Recovery of Energy,"March 30, 2021
                                                                                                                                      -
                                                                                               3:30 PM",00h 41m,,,41
Tulsa Development Authority,"November 18, 2021
                                                                                                                                      -
                                                                                               9:15 AM",00h 20m,,,20
Tulsa Development Authority,"September 23, 2021
                                                                                                                                      -
                                                                                               9:15 AM",01h 59m,,,119
Tulsa Development Authority,"July 22, 2021
                                                                                                                                      -
                                                                                               9:15 AM",03h 19m,,,199
Tulsa Development Authority,"April 22, 2021
                                                                                                                                      -
                                                                                               9:15 AM",00h 27m,,,27
Tulsa Development Authority,"April  1, 2021
                                                                                                                                      -
                                                                                               9:15 AM",01h 49m,,,109
Mayor's Commission on the Status of Women,"November  5, 2021
                                                                                                                                      -
                                                                                              12:00 PM",00h 48m,,,48
Mayor's Commission on the Status of Women,"October  1, 2021
                                                                                                                                      -
                                                                                              12:00 PM",02h 00m,,,120
Mayor's Commission on the Status of Women,"October  1, 2021
                                                                                                                                      -
                                                                                              12:00 PM",00h 44m,,,44
Mayor's Commission on the Status of Women,"September  3, 2021
                                                                                                                                      -
                                                                                              12:00 PM",01h 03m,,,63
Mayor's Commission on the Status of Women,"August  6, 2021
                                                                                                                                      -
                                                                                              12:00 PM",00h 46m,,,46
Mayor's Commission on the Status of Women,"June  4, 2021
                                                                                                                                      -
                                                                                              12:00 PM",01h 05m,,,65
Mayor's Commission on the Status of Women,"April 13, 2021
                                                                                                                                      -
                                                                                              12:00 PM",00h 35m,,,35
Mayor's Commission on the Status of Women,"March  5, 2021
                                                                                                                                      -
                                                                                              12:00 PM",00h 48m,,,48
U.S. Naturalization Ceremony,"November 18, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 28m,,,28
U.S. Naturalization Ceremony,"November 18, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 28m,,,28
U.S. Naturalization Ceremony,"October 21, 2021
                                                                                                                                      -
                                                                                              11:03 AM",00h 21m,,,21
U.S. Naturalization Ceremony,"October 21, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 25m,,,25
U.S. Naturalization Ceremony,"September 15, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 26m,,,26
U.S. Naturalization Ceremony,"September 15, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 39m,,,39
U.S. Naturalization Ceremony,"August 12, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 32m,,,32
U.S. Naturalization Ceremony,"July  8, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 30m,,,30
U.S. Naturalization Ceremony,"June 16, 2021
                                                                                                                                      -
                                                                                              11:00 AM",01h 02m,,,62
U.S. Naturalization Ceremony - 11:30 a.m.,"May 13, 2021
                                                                                                                                      -
                                                                                              11:30 AM",00h 27m,,,27
U.S. Naturalization Ceremony - 11 a.m.,"May 13, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 23m,,,23
U.S. Naturalization Ceremony,"April  8, 2021
                                                                                                                                      -
                                                                                              11:00 AM",00h 47m,,,47
Regular Council Meeting,"December 16, 2020
                                                                                                                                      -
                                                                                               5:00 PM",01h 10m,,,70
Regular Council Meeting,"December  9, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 49m,,,49
Regular Council Meeting,"December  2, 2020
                                                                                                                                      -
                                                                                               5:00 PM",02h 10m,,,130
Regular Council Meeting,"November 24, 2020
                                                                                                                                      -
                                                                                               5:00 PM",03h 38m,,,218
Regular Council Meeting,"November 18, 2020
                                                                                                                                      -
                                                                                               5:00 PM",03h 51m,,,231
Regular Council Meeting,"November  4, 2020
                                                                                                                                      -
                                                                                               5:00 PM",03h 51m,,,231
Regular Council Meeting,"October 28, 2020
                                                                                                                                      -
                                                                                               5:00 PM",03h 49m,,,229
Regular Council Meeting,"October 14, 2020
                                                                                                                                      -
                                                                                               5:00 PM",04h 01m,,,241
Regular Council Meeting,"October  7, 2020
                                                                                                                                      -
                                                                                               5:00 PM",03h 51m,,,231
Regular Council Meeting,"September 30, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 34m,,,34
Regular Council Meeting,"September 23, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 50m,,,50
Regular Council Meeting,"September 16, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 52m,,,52
Regular Council Meeting,"September  2, 2020
                                                                                                                                      -
                                                                                               5:00 PM",01h 07m,,,67
Regular Council Meeting,"August 26, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 31m,,,31
Regular Council Meeting,"August 19, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 43m,,,43
Regular Council Meeting,"August  5, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 38m,,,38
Regular Council Meeting,"July 29, 2020
                                                                                                                                      -
                                                                                               5:00 PM",01h 10m,,,70
Regular Council Meeting,"July 22, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 16m,,,16
Regular Council Meeting,"July 15, 2020
                                                                                                                                      -
                                                                                               5:00 PM",03h 16m,,,196
Regular Council Meeting,"June 24, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 28m,,,28
Regular Council Meeting,"June 17, 2020
                                                                                                                                      -
                                                                                               5:00 PM",02h 37m,,,157
Regular Council Meeting,"June 10, 2020
                                                                                                                                      -
                                                                                               5:00 PM",02h 16m,,,136
Regular Council Meeting,"June  3, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 38m,,,38
Regular Council Meeting,"May 20, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 30m,,,30
Regular Council Meeting,"May 13, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 39m,,,39
Regular Council Meeting,"May  6, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 30m,,,30
Regular Council Meeting,"April 29, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 33m,,,33
Regular Council Meeting,"April 22, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 47m,,,47
Regular Council Meeting,"April 15, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 25m,,,25
Special Meeting,"April  7, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 43m,,,43
Regular Council Meeting,"April  1, 2020
                                                                                                                                      -
                                                                                               5:00 PM",00h 38m,,,38
