meeting,date,duration,agenda,video,duration_minutes
Regular Council Meeting,"January 31, 2024
                                                                                                                                      -
                                                                                               5:01 PM",00h 28m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5932,,28
Regular Council Meeting,"January 31, 2024
                                                                                                                                      -
                                                                                               5:03 PM",00h 26m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5933,,26
Regular Council Meeting,"January 24, 2024
                                                                                                                                      -
                                                                                               5:00 PM",01h 06m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5923,,66
Regular Council Meeting,"January 10, 2024
                                                                                                                                      -
                                                                                               5:00 PM",00h 49m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5916,,49
City Council Budget & Special Projects Committee,"June  5, 2024
                                                                                                                                      -
                                                                                               1:03 PM",00h 33m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6108,,33
Council Budget & Special Projects Committee,"May  1, 2024
                                                                                                                                      -
                                                                                               1:00 PM",01h 32m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6080,,92
Council Budget & Special Projects Committee,"February  7, 2024
                                                                                                                                      -
                                                                                               1:06 PM",01h 11m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=5943,,71
Council Public Works Committee,"December 18, 2024
                                                                                                                                      -
                                                                                               2:31 PM",00h 13m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6327,,13
Council Public Works Committee,"November 20, 2024
                                                                                                                                      -
                                                                                               2:31 PM",00h 35m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6310,,35
Council Public Works Committee,"November  6, 2024
                                                                                                                                      -
                                                                                               2:36 PM",00h 31m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6287,,31
Council Public Works Committee,"October 30, 2024
                                                                                                                                      -
                                                                                               2:30 PM",01h 05m,,,65
Council Public Works Committee,"October 16, 2024
                                                                                                                                      -
                                                                                               2:40 PM",01h 08m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6260,,68
Council Public Works Committee,"September 25, 2024
                                                                                                                                      -
                                                                                               2:30 PM",00h 51m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6235,,51
Council Public Works Committee,"September 18, 2024
                                                                                                                                      -
                                                                                               2:33 PM",00h 07m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6225,,7
Council Public Works Committee,"September 11, 2024
                                                                                                                                      -
                                                                                               2:30 PM",00h 35m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6210,,35
Council Public Works Committee,"August 28, 2024
                                                                                                                                      -
                                                                                               2:30 PM",00h 26m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6188,,26
Council Public Works Committee,"August 21, 2024
                                                                                                                                      -
                                                                                               2:34 PM",00h 50m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6176,,50
Council Public Works Committee,"August  7, 2024
                                                                                                                                      -
                                                                                               2:34 PM",00h 16m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6164,,16
Council Public Works Committee,"July 31, 2024
                                                                                                                                      -
                                                                                               2:30 PM",00h 47m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6156,,47
Council Public Works Committee,"July 24, 2024
                                                                                                                                      -
                                                                                               2:34 PM",01h 28m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6148,,88
Council Public Works Committee,"July 17, 2024
                                                                                                                                      -
                                                                                               2:32 PM",01h 37m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6142,,97
Council Public Works Committee,"June 26, 2024
                                                                                                                                      -
                                                                                               2:30 PM",00h 37m,https://tulsa-ok.granicus.com/AgendaViewer.php?view_id=4&clip_id=6132,,37
